code,state,Total Cases,latitude,longitude,Cell_Num,Cell_Freq
HI,Hawaii,28483,21.1098,-157.5311,17068.0,Very Low
AK,Alaska,59710,61.385,-152.2683,7325.0,Very Low
OR,Oregon,163952,44.5672,-122.1269,61172.0,Low
WA,Washington,361699,47.3917,-121.5708,96343.0,High
CA,California,3562191,36.17,-119.7462,205427.0,Very High
NV,Nevada,303061,38.4199,-117.1219,66376.0,Low
ID,Idaho,179428,44.2394,-114.5103,291510.0,Very High
UT,Utah,384562,40.1135,-111.8535,25318.0,Very Low
AZ,Arizona,839888,33.7712,-111.3877,120924.0,High
MT,Montana,104128,46.9048,-110.3261,49550.0,Low
WY,Wyoming,56046,42.7475,-107.2085,43586.0,Very Low
NM,New Mexico,191048,34.8375,-106.2371,89198.0,High
CO,Colorado,458554,39.0646,-105.3272,7609.0,Very Low
ND,North Dakota,102639,47.5362,-99.793,38494.0,Very Low
SD,South Dakota,117244,44.2853,-99.4632,104320.0,High
NE,Nebraska,208553,41.1289,-98.2883,8851.0,Very Low
TX,Texas,2772080,31.106,-97.6475,29403.0,Very Low
OK,Oklahoma,437853,35.5376,-96.9247,120492.0,High
KS,Kansas,301433,38.5111,-96.8005,30634.0,Very Low
MN,Minnesota,515058,45.7326,-93.9196,73169.0,Low
IA,Iowa,349626,42.0046,-93.214,201804.0,Very High
AR,Arkansas,329929,34.9513,-92.3809,33770.0,Very Low
MO,Missouri,575767,38.4623,-92.302,151106.0,Very High
LA,Louisiana,443069,31.1801,-91.8749,76165.0,Low
MS,Mississippi,304695,32.7673,-89.6812,88868.0,High
WI,Wisconsin,634133,44.2563,-89.6385,65218.0,Low
IL,Illinois,1237828,40.3363,-89.0022,79622.0,High
AL,Alabama,514391,32.799,-86.8073,86116.0,High
TN,Tennessee,808404,35.7449,-86.7489,252297.0,Very High
IN,Indiana,684020,39.8647,-86.2604,67968.0,Low
KY,Kentucky,425024,37.669,-84.6514,70689.0,Low
MI,Michigan,723700,43.3504,-84.5603,152182.0,Very High
GA,Georgia,1055256,32.9866,-83.6487,189633.0,Very High
OH,Ohio,1011622,40.3736,-82.7755,135481.0,High
FL,Florida,2006118,27.8333,-81.717,50842.0,Low
WV,West Virginia,140613,38.468,-80.9696,142222.0,Very High
SC,South Carolina,547018,33.8191,-80.9066,93495.0,High
NC,North Carolina,905528,35.6411,-79.8431,141402.0,Very High
VA,Virginia,616510,37.768,-78.2057,48531.0,Low
PA,Pennsylvania,1012345,40.5773,-77.264,133514.0,High
MD,Maryland,409076,39.0724,-76.7902,79367.0,High
DE,Delaware,94062,39.3498,-75.5148,38330.0,Very Low
NY,New York,1014969,42.1497,-74.9384,200265.0,Very High
NJ,New Jersey,896652,40.314,-74.5089,44982.0,Low
CT,Connecticut,305210,41.5834,-72.7622,151276.0,Very High
VT,Vermont,18820,44.0407,-72.7093,319425.0,Very High
NH,New Hampshire,83027,43.4108,-71.5653,68931.0,Low
MA,Massachusetts,602674,42.2373,-71.5314,139632.0,Very High
RI,Rhode Island,135775,41.6772,-71.5101,25388.0,Very Low
ME,Maine,50030,44.6074,-69.3977,2694.0,Very Low
